timestamp,ticker,direction,score,setup_type,spot,pivot,target,invalidation
2026-07-24T16:18:59.233Z,AAPL,BULLISH,60,Floor bounce,333.69,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:19:04.228Z,AAPL,BULLISH,60,Floor bounce,333.6,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:19:09.228Z,AAPL,BULLISH,60,Floor bounce,333.62,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:19:14.228Z,AAPL,BULLISH,60,Floor bounce,333.59,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:19:19.228Z,AAPL,BULLISH,60,Floor bounce,333.625,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:19:24.223Z,AAPL,BULLISH,60,Floor bounce,333.7,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:19:29.227Z,AAPL,BULLISH,60,Floor bounce,333.66,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:19:34.229Z,AAPL,BULLISH,60,Floor bounce,333.63,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:19:39.227Z,AAPL,BULLISH,60,Floor bounce,333.65,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:19:44.227Z,AAPL,BULLISH,60,Floor bounce,333.69,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:19:49.229Z,AAPL,BULLISH,60,Floor bounce,333.72,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:19:54.228Z,AAPL,BULLISH,60,Floor bounce,333.685,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:19:59.227Z,AAPL,BULLISH,60,Floor bounce,333.675,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:20:04.229Z,AAPL,BULLISH,60,Floor bounce,333.64,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:20:09.226Z,AAPL,BULLISH,60,Floor bounce,333.6914,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:20:14.514Z,AAPL,BULLISH,60,Floor bounce,333.665,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:20:19.233Z,AAPL,BULLISH,60,Floor bounce,333.715,"332.5 (broken resistance, broke)",335,330
2026-07-24T16:20:24.224Z,AAPL,BULLISH,60,Floor bounce,333.73,"332.5 (broken resistance, broke)",335,330
